SampleDate_Local,SampleDepth_m,SampleID,CphlA_mgm3
26/10/2009,WC,ROT20091026_WC,0.317
22/12/2009,20,ROT20091222_20,0.157
22/12/2009,47,ROT20091222_47,0.203
22/12/2009,WC,ROT20091222_WC,0.209
15/03/2010,20,ROT20100315_20,0.353
15/03/2010,40,ROT20100315_40,0.334
15/03/2010,WC,ROT20100315_WC,0.277
16/04/2010,20,ROT20100416_20,0.158
16/04/2010,40,ROT20100416_40,0.364
16/04/2010,WC,ROT20100416_WC,0.304
20/05/2010,20,ROT20100520_20,0.514
20/05/2010,40,ROT20100520_40,0.306
20/05/2010,WC,ROT20100520_WC,0.444
17/06/2010,20,ROT20100617_20,0.4
17/06/2010,40,ROT20100617_40,0.368
17/06/2010,WC,ROT20100617_WC,0.37
23/07/2010,20,ROT20100723_20,0.343
23/07/2010,40,ROT20100723_40,0.287
23/07/2010,WC,ROT20100723_WC,0.143
20/08/2010,20,ROT20100820_20,0.184
20/08/2010,40,ROT20100820_40,0.353
20/08/2010,WC,ROT20100820_WC,0.295
24/09/2010,20,ROT20100924_20,0.174
24/09/2010,40,ROT20100924_40,0.266
24/09/2010,WC,ROT20100924_WC,0.26
24/11/2010,20,ROT20101124_20,0.205
24/11/2010,40,ROT20101124_40,0.306
24/11/2010,WC,ROT20101124_WC,0.257
15/12/2010,20,ROT20101215_20,0.189
15/12/2010,40,ROT20101215_40,0.209
15/12/2010,WC,ROT20101215_WC,0.145
25/01/2011,20,ROT20110125_20,0.291
25/01/2011,40,ROT20110125_40,0.138
25/01/2011,WC,ROT20110125_WC,0.237
24/02/2011,20,ROT20110224_20,0.227
24/02/2011,40,ROT20110224_40,0.218
24/02/2011,WC,ROT20110224_WC,0.218
24/03/2011,20,ROT20110324_20,0.232
24/03/2011,40,ROT20110324_40,0.346
24/03/2011,WC,ROT20110324_WC,0.198
27/05/2011,20,ROT20110527_20,0.695
27/05/2011,40,ROT20110527_40,0.54
27/05/2011,WC,ROT20110527_WC,0.562
22/06/2011,20,ROT20110622_20,0.354
22/06/2011,40,ROT20110622_40,0.197
22/06/2011,WC,ROT20110622_WC,0.26
25/07/2011,20,ROT20110725_20,0.405
25/07/2011,40,ROT20110725_40,0.43
25/07/2011,WC,ROT20110725_WC,0.288
26/08/2011,20,ROT20110826_20,0.385
26/08/2011,40,ROT20110826_40,0.285
26/08/2011,WC,ROT20110826_WC,0.33
23/09/2011,20,ROT20110923_20,0.13
23/09/2011,40,ROT20110923_40,0.2
23/09/2011,WC,ROT20110923_WC,0.139
20/10/2011,20,ROT20111020_20,0.37
20/10/2011,40,ROT20111020_40,0.287
20/10/2011,WC,ROT20111020_WC,0.247
22/11/2011,20,ROT20111122_20,0.232
22/11/2011,40,ROT20111122_40,0.136
22/11/2011,WC,ROT20111122_WC,0.181
21/12/2011,20,ROT20111221_20,0.14
21/12/2011,40,ROT20111221_40,0.266
21/12/2011,WC,ROT20111221_WC,0.157
30/01/2012,20,ROT20120130_20,0.227
30/01/2012,40,ROT20120130_40,0.254
30/01/2012,WC,ROT20120130_WC,0.214
21/02/2012,20,ROT20120221_20,0.232
21/02/2012,40,ROT20120221_40,0.141
21/02/2012,WC,ROT20120221_WC,0.134
29/03/2012,20,ROT20120329_20,0.541
29/03/2012,40,ROT20120329_40,0.48
29/03/2012,WC,ROT20120329_WC,0.487
4/05/2012,20,ROT20120504_20,0.456
4/05/2012,40,ROT20120504_40,0.5
4/05/2012,WC,ROT20120504_WC,0.46
23/05/2012,20,ROT20120523_20,0.179
23/05/2012,40,ROT20120523_40,0.204
23/05/2012,WC,ROT20120523_WC,0.192
27/07/2012,20,ROT20120727_20,0.273
27/07/2012,40,ROT20120727_40,0.252
27/07/2012,WC,ROT20120727_WC,0.266
24/08/2012,20,ROT20120824_20,0.354
24/08/2012,40,ROT20120824_40,0.312
24/08/2012,WC,ROT20120824_WC,0.382
28/09/2012,20,ROT20120928_20,0.237
28/09/2012,40,ROT20120928_40,0.243
28/09/2012,WC,ROT20120928_WC,0.245
19/10/2012,20,ROT20121019_20,0.076
19/10/2012,40,ROT20121019_40,0.146
19/10/2012,WC,ROT20121019_WC,0.129
26/11/2012,20,ROT20121126_20,0.317
26/11/2012,40,ROT20121126_40,0.155
26/11/2012,WC,ROT20121126_WC,0.246
19/12/2012,20,ROT20121219_20,0.21
19/12/2012,40,ROT20121219_40,0.209
19/12/2012,WC,ROT20121219_WC,0.179
25/01/2013,20,ROT20130125_20,0.386
25/01/2013,40,ROT20130125_40,0.324
25/01/2013,WC,ROT20130125_WC,0.362
21/02/2013,20,ROT20130221_20,0.163
21/02/2013,40,ROT20130221_40,0.222
21/02/2013,WC,ROT20130221_WC,0.131
21/03/2013,20,ROT20130321_20,0.279
21/03/2013,40,ROT20130321_40,0.369
21/03/2013,WC,ROT20130321_WC,0.241
23/04/2013,20,ROT20130423_20,0.331
23/04/2013,40,ROT20130423_40,0.239
23/04/2013,WC,ROT20130423_WC,0.347
17/05/2013,20,ROT20130517_20,0.439
17/05/2013,40,ROT20130517_40,0.44
17/05/2013,WC,ROT20130517_WC,0.548
12/07/2013,20,ROT20130712_20,0.186
12/07/2013,40,ROT20130712_40,0.252
12/07/2013,WC,ROT20130712_WC,0.337
1/10/2013,20,ROT20131001_20,0.459
1/10/2013,40,ROT20131001_40,0.387
1/10/2013,WC,ROT20131001_WC,0.443
17/10/2013,20,ROT20131017_20,0.226
17/10/2013,40,ROT20131017_40,0.188
17/10/2013,WC,ROT20131017_WC,0.321
22/11/2013,20,ROT20131122_20,0.192
22/11/2013,40,ROT20131122_40,0.169
22/11/2013,WC,ROT20131122_WC,0.163
18/12/2013,20,ROT20131218_20,0.193
18/12/2013,40,ROT20131218_40,0.45
18/12/2013,WC,ROT20131218_WC,0.225
22/01/2014,20,ROT20140122_20,0.372
22/01/2014,40,ROT20140122_40,0.627
22/01/2014,WC,ROT20140122_WC,0.388
27/02/2014,20,ROT20140227_20,0.261
27/02/2014,40,ROT20140227_40,0.206
27/02/2014,WC,ROT20140227_WC,0.224
19/03/2014,20,ROT20140319_20,0.355
19/03/2014,40,ROT20140319_40,0.213
19/03/2014,WC,ROT20140319_WC,0.23
19/05/2014,20,ROT20140519_20,0.361
19/05/2014,40,ROT20140519_40,0.335
19/05/2014,WC,ROT20140519_WC,0.366
24/06/2014,20,ROT20140624_20,0.546
24/06/2014,40,ROT20140624_40,0.621
24/06/2014,WC,ROT20140624_WC,0.591
30/07/2014,20,ROT20140730_20,0.313
30/07/2014,40,ROT20140730_40,0.308
30/07/2014,WC,ROT20140730_WC,0.312
2/09/2014,20,ROT20140902_20,0.476
2/09/2014,40,ROT20140902_40,0.314
2/09/2014,WC,ROT20140902_WC,0.398
19/09/2014,20,ROT20140919_20,0.762
19/09/2014,40,ROT20140919_40,0.207
19/09/2014,WC,ROT20140919_WC,0.468
14/10/2014,0,ROT20141014_0,0.251
14/10/2014,20,ROT20141014_20,0.25
14/10/2014,40,ROT20141014_40,0.225
14/10/2014,WC,ROT20141014_WC,0.212
19/11/2014,20,ROT20141119_20,0.176
19/11/2014,40,ROT20141119_40,0.295
19/11/2014,WC,ROT20141119_WC,0.203
16/12/2014,0,ROT20141216_0,0.198
16/12/2014,20,ROT20141216_20,0.245
16/12/2014,40,ROT20141216_40,0.119
16/12/2014,WC,ROT20141216_WC,0.193
28/01/2015,0,ROT20150128_0,0.108
28/01/2015,20,ROT20150128_20,0.157
28/01/2015,40,ROT20150128_40,0.291
28/01/2015,WC,ROT20150128_WC,0.178
24/02/2015,0,ROT20150224_0,0.154
24/02/2015,20,ROT20150224_20,0.242
24/02/2015,40,ROT20150224_40,0.023
24/02/2015,WC,ROT20150224_WC,0.146
19/03/2015,0,ROT20150319_0,0.282
19/03/2015,20,ROT20150319_20,0.227
19/03/2015,40,ROT20150319_40,0.318
19/03/2015,WC,ROT20150319_WC,0.187
7/05/2015,0,ROT20150507_0,0.271
7/05/2015,20,ROT20150507_20,0.609
7/05/2015,40,ROT20150507_40,0.215
7/05/2015,WC,ROT20150507_WC,0.352
1/07/2015,0,ROT20150701_0,0.398
1/07/2015,20,ROT20150701_20,0.423
1/07/2015,40,ROT20150701_40,0.447
1/07/2015,WC,ROT20150701_WC,0.368
24/07/2015,0,ROT20150724_0,0.394
24/07/2015,20,ROT20150724_20,0.346
24/07/2015,40,ROT20150724_40,0.395
24/07/2015,WC,ROT20150724_WC,0.439
27/08/2015,0,ROT20150827_0,0.181
27/08/2015,20,ROT20150827_20,0.271
27/08/2015,40,ROT20150827_40,0.209
27/08/2015,WC,ROT20150827_WC,0.287
24/09/2015,0,ROT20150924_0,0.079
24/09/2015,20,ROT20150924_20,0.103
24/09/2015,40,ROT20150924_40,0.311
24/09/2015,WC,ROT20150924_WC,0.171
22/10/2015,0,ROT20151022_0,0.139
22/10/2015,20,ROT20151022_20,0.351
22/10/2015,40,ROT20151022_40,0.289
22/10/2015,WC,ROT20151022_WC,0.272
15/12/2015,0,ROT20151215_0,0.143
15/12/2015,20,ROT20151215_20,0.454
15/12/2015,40,ROT20151215_40,0.093
15/12/2015,WC,ROT20151215_WC,0.146
23/02/2016,0,ROT20160223_0,0.085
23/02/2016,20,ROT20160223_20,0.113
23/02/2016,40,ROT20160223_40,0.478
23/02/2016,WC,ROT20160223_WC,0.211
24/03/2016,0,ROT20160324_0,0.22
24/03/2016,20,ROT20160324_20,0.349
24/03/2016,40,ROT20160324_40,0.206
24/03/2016,WC,ROT20160324_WC,0.197
13/04/2016,0,ROT20160413_0,0.217
13/04/2016,20,ROT20160413_20,0.499
13/04/2016,40,ROT20160413_40,0.462
13/04/2016,WC,ROT20160413_WC,0.28
2/05/2016,0,ROT20160502_0,0.356
2/05/2016,20,ROT20160502_20,0.308
2/05/2016,40,ROT20160502_40,0.269
2/05/2016,WC,ROT20160502_WC,0.377
27/05/2016,0,ROT20160527_0,0.657
27/05/2016,20,ROT20160527_20,0.981
27/05/2016,40,ROT20160527_40,0.756
27/05/2016,WC,ROT20160527_WC,0.916
21/06/2016,0,ROT20160621_0,0.34
21/06/2016,20,ROT20160621_20,0.37
21/06/2016,40,ROT20160621_40,0.35
21/06/2016,WC,ROT20160621_WC,0.345
4/10/2016,0,ROT20161004_0,0.289
4/10/2016,20,ROT20161004_20,0.324
4/10/2016,40,ROT20161004_40,0.387
4/10/2016,WC,ROT20161004_WC,0.287
24/10/2016,0,ROT20161024_0,0.179
24/10/2016,20,ROT20161024_20,0.201
24/10/2016,40,ROT20161024_40,0.253
24/10/2016,WC,ROT20161024_WC,0.165
14/11/2016,0,ROT20161114_0,0.096
14/11/2016,20,ROT20161114_20,0.216
14/11/2016,40,ROT20161114_40,0.173
14/11/2016,WC,ROT20161114_WC,0.235
14/12/2016,0,ROT20161214_0,0.096
14/12/2016,20,ROT20161214_20,0.244
14/12/2016,40,ROT20161214_40,0.3
14/12/2016,WC,ROT20161214_WC,0.192
20/01/2017,0,ROT20170120_0,0.089
20/01/2017,20,ROT20170120_20,0.217
20/01/2017,40,ROT20170120_40,0.25
20/01/2017,WC,ROT20170120_WC,0.222
3/03/2017,0,ROT20170303_0,0.216
3/03/2017,20,ROT20170303_20,0.444
3/03/2017,40,ROT20170303_40,0.508
3/03/2017,WC,ROT20170303_WC,0.434
31/03/2017,0,ROT20170331_0,0.281
31/03/2017,20,ROT20170331_20,0.258
31/03/2017,40,ROT20170331_40,0.245
31/03/2017,WC,ROT20170331_WC,0.28
7/04/2017,0,ROT20170407_0,0.23
7/04/2017,20,ROT20170407_20,0.393
7/04/2017,40,ROT20170407_40,0.367
7/04/2017,WC,ROT20170407_WC,0.349
28/04/2017,0,ROT20170428_0,0.355
28/04/2017,20,ROT20170428_20,0.382
28/04/2017,40,ROT20170428_40,0.346
28/04/2017,WC,ROT20170428_WC,0.276
23/05/2017,0,ROT20170523_0,0.591
23/05/2017,20,ROT20170523_20,0.59
23/05/2017,40,ROT20170523_40,0.272
23/05/2017,WC,ROT20170523_WC,0.468
26/06/2017,0,ROT20170626_0,0.741
26/06/2017,20,ROT20170626_20,0.801
26/06/2017,40,ROT20170626_40,0.375
26/06/2017,WC,ROT20170626_WC,0.671
2/08/2017,0,ROT20170802_0,0.424
2/08/2017,20,ROT20170802_20,0.433
14/09/2017,0,ROT20170914_0,0.414
14/09/2017,20,ROT20170914_20,0.601
3/11/2017,0,ROT20171103_0,0.282
3/11/2017,20,ROT20171103_20,0.315
23/11/2017,0,ROT20171123_0,1.445
23/11/2017,20,ROT20171123_20,0.338
14/12/2017,0,ROT20171214_0,0.166
14/12/2017,20,ROT20171214_20,0.25
25/01/2018,0,ROT20180125_0,0.357
25/01/2018,20,ROT20180125_20,0.242
21/02/2018,0,ROT20180221_0,0.25
21/02/2018,20,ROT20180221_20,0.354
28/03/2018,0,ROT20180328_0,0.293
28/03/2018,20,ROT20180328_20,0.53
11/05/2018,0,ROT20180511_0,0.499
11/05/2018,20,ROT20180511_20,0.62
20/06/2018,0,ROT20180620_0,0.516
20/06/2018,20,ROT20180620_20,0.555
19/07/2018,0,ROT20180719_0,0.543
19/07/2018,20,ROT20180719_20,0.73
27/07/2018,0,ROT20180727_0,0.433
27/07/2018,20,ROT20180727_20,0.452
31/08/2018,0,ROT20180831_0,0.615
31/08/2018,20,ROT20180831_20,0.581
21/09/2018,0,ROT20180921_0,0.541
21/09/2018,20,ROT20180921_20,0.739
24/10/2018,0,ROT20181024_0,0.241
24/10/2018,20,ROT20181024_20,0.318
30/11/2018,0,ROT20181130_0,0.18
30/11/2018,20,ROT20181130_20,0.194
11/12/2018,0,ROT20181211_0,0.139
11/12/2018,20,ROT20181211_20,0.317
25/01/2019,0,ROT20190125_0,0.147
25/01/2019,20,ROT20190125_20,0.223
21/02/2019,0,ROT20190221_0,0.164
21/02/2019,20,ROT20190221_20,0.215
6/03/2019,0,ROT20190306_0,0.604
6/03/2019,20,ROT20190306_20,0.681
7/05/2019,0,ROT20190507_0,0.25
7/05/2019,20,ROT20190507_20,0.315
27/05/2019,0,ROT20190527_0,0.218
27/05/2019,20,ROT20190527_20,0.21
21/06/2019,0,ROT20190621_0,0.314
21/06/2019,20,ROT20190621_20,0.355
11/07/2019,0,ROT20190711_0,0.503
11/07/2019,20,ROT20190711_20,0.541
19/08/2019,0,ROT20190819_0,0.281
19/08/2019,20,ROT20190819_20,0.314
11/10/2019,0,ROT20191011_0,0.132
11/10/2019,20,ROT20191011_20,0.192
4/11/2019,0,ROT20191104_0,0.491
4/11/2019,20,ROT20191104_20,0.432
26/11/2019,0,ROT20191126_0,0.213
26/11/2019,20,ROT20191126_20,0.335
18/12/2019,0,ROT20191218_0,0.084
18/12/2019,20,ROT20191218_20,0.2
28/01/2020,0,ROT20200128_0,0.179
28/01/2020,20,ROT20200128_20,0.217
4/03/2020,0,ROT20200304_0,0.504
4/03/2020,20,ROT20200304_20,0.655
20/05/2020,0,ROT20200520_0,0.439
20/05/2020,20,ROT20200520_20,0.451
5/06/2020,0,ROT20200605_0,0.709
5/06/2020,20,ROT20200605_20,0.623
10/07/2020,0,ROT20200710_0,0.483
10/07/2020,20,ROT20200710_20,0.46
30/07/2020,0,ROT20200730_0,0.298
30/07/2020,20,ROT20200730_20,0.302
14/08/2020,0,ROT20200814_0,0.291
25/08/2020,0,ROT20200825_0,0.186
25/08/2020,20,ROT20200825_20,0.221
13/10/2020,0,ROT20201013_0,0.185
13/10/2020,20,ROT20201013_20,0.224
6/11/2020,0,ROT20201106_0,0.41
6/11/2020,20,ROT20201106_20,0.431
27/11/2020,0,ROT20201127_0,0.085
27/11/2020,20,ROT20201127_20,0.087
21/01/2021,0,ROT20210121_0,0.214
21/01/2021,20,ROT20210121_20,0.269
24/02/2021,0,ROT20210224_0,0.136
24/02/2021,20,ROT20210224_20,0.206
7/04/2021,0,ROT20210407_0,0.283
7/04/2021,20,ROT20210407_20,0.3
29/04/2021,0,ROT20210428_0,0.416
29/04/2021,20,ROT20210428_20,0.467
3/08/2021,0,ROT20210803_0,0.614
3/08/2021,20,ROT20210803_20,0.694
18/08/2021,0,ROT20210818_0,0.361
18/08/2021,20,ROT20210818_20,0.484
28/09/2021,0,ROT20210928_0,0.329
28/09/2021,20,ROT20210928_20,0.273
5/11/2021,0,ROT20211105_0,0.37
5/11/2021,20,ROT20211105_20,0.416
25/11/2021,0,ROT20211125_0,0.181
25/11/2021,20,ROT20211125_20,0.226
7/12/2021,0,ROT20211207_0,0.256
7/12/2021,20,ROT20211207_20,0.348
20/12/2021,0,ROT20211220_0,0.171
20/12/2021,20,ROT20211220_20,0.262
25/01/2022,0,ROT20220125_0,0.224
25/01/2022,20,ROT20220125_20,0.22
